Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable location (product.metafields.shopify.suitable-location),Suitable space (product.metafields.shopify.suitable-space),Tile design (product.metafields.shopify.tile-design),Tile look (product.metafields.shopify.tile-look),Tile material (product.metafields.shopify.tile-material),Tile texture (product.metafields.shopify.tile-texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
jarrah,Jarrah,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4419,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4419_Jarrah_3_optimized.jpg?v=1773206548,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
hatton-oak,Hatton Oak,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4418,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4418_Hatton_Oak.jpg?v=1773044533,1,"",false,,,,,,,,,,,,,,,,,gray,,plastic; polyvinyl-chloride-pvc,modern; minimalist,,living-room; bedroom; hallway; kitchen; bathroom,indoors,,,,,,kg,,,true,,,true,,,active
grey-oak,Grey Oak,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Uncategorized,"","",true,Title,Default Title,,,,,,,,'4417,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4417_Grey_Oak.jpg?v=1773044377,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
blackbutt,Blackbutt,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Uncategorized,"","",true,Title,Default Title,,,,,,,,'4416,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4416_Blackbutt_optimized.jpg?v=1773206721,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
salem-oak,Salem Oak,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4415,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4415SalemOak_bf3d6711-a1df-4d03-9617-47417f9ffd1b.jpg?v=1773044004,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
natural-wild-oak,Natural Wild Oak,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4412,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4412_Natural_Wild_Oak_4_3_1.jpg?v=1773204172,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
nsw-spotted-gum,NSW Spotted Gum,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Uncategorized,"","",true,Title,Default Title,,,,,,,,'4410,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4410_NSW_Spotted_Gum.jpg?v=1773043650,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
grey-ghost,Grey Ghost,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4409,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4409GreyGhost_b0b9c7ba-12d3-43c0-b1d2-c829865dc998.jpg?v=1773043519,1,"",false,,,,,,,,,,,,,,,,,gray,,wood; plastic,minimalist; modern,,kitchen; bathroom; hallway; living-room,indoors,,,,,,kg,,,true,,,true,,,active
mccall-oak,McCall Oak,<p>✅Straight Boards – 1524mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4408,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4408_McCall_Oak.jpg?v=1773043368,1,"",false,,,,,,,,,,,,,,,,,beige-1,,plastic; polyvinyl-chloride-pvc,modern; minimalist,,living-room; bedroom; hallway; kitchen; bathroom,indoors,,,,,,kg,,,true,,,true,,,active
classic-oak,Classic Oak,<p><strong>✅</strong>Straight Boards – 1524mm x 228mm x 7mm<br><strong>✅</strong>0.5mm Wear Layer<br><strong>✅</strong>5mm Rigid Core<br><strong>✅</strong>2mm Pre-Attached Acoustic Backing<br><strong>✅</strong>100% Waterproof<br><strong>✅</strong>2.085m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'4407,0.0,,deny,manual,39.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/4407_Classic_Oak_optimized.jpg?v=1773207193,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
